,index,policy,seed,K,user_util,mean_max_envy,pct_better_off,pct_worse_off
0,0,max,0,1,1.0,0.04907270029673591,0.01483679525222552,0.9814540059347181
1,1,expo-fair,0,1,0.9932639907475596,0.006978427368050585,0.6713649851632048,0.3086053412462908
2,2,unif,0,1,0.05393175074183976,0.0,0.0,0.0
3,3,nsw_0,0,1,0.46276040373994504,0.005130064131775856,9.86646884272997,89.76261127596439
4,4,nsw_1,0,1,0.969996445925036,0.007947083776533656,16.765578635014837,82.86350148367953
5,0,max,0,2,1.5,0.04870178041543026,0.02967359050445104,0.9666172106824926
6,1,expo-fair,0,2,1.4315186903958108,0.011142491416938434,0.6201780415430267,0.36572700296735905
7,2,unif,0,2,0.08089762611275966,0.0,0.0,0.0
8,3,nsw_0,0,2,0.8328815411906246,0.00809431300309329,12.166172106824925,87.46290801186943
9,4,nsw_1,0,2,1.4745592371551004,0.010409016724184466,20.99406528189911,78.63501483679525
10,0,max,0,3,1.7999999999999996,0.04847922848664688,0.04302670623145401,0.9532640949554896
11,1,expo-fair,0,3,1.6913554266587383,0.013922306437559484,0.6045994065281899,0.3724035608308605
12,2,unif,0,3,0.09887487636003955,0.0,0.0,0.0
13,3,nsw_0,0,3,1.1765886067890197,0.009844214595716272,13.724035608308604,85.90504451038575
14,4,nsw_1,0,3,1.780869047759035,0.011875475525139081,23.516320474777448,76.11275964391692
